_id,url,word_count,section,date,type,headline,abstract
nyt://article/10162d44-127b-5f89-9972-92903afed502,https://www.nytimes.com/2016/08/27/your-money/real-estate-strikes-out-on-its-own-in-the-stock-indexes.html,1274,Your Money,2016-08-26T15:48:09+0000,Business,Real Estate Strikes Out on Its Own in the Stock Indexes,Experts differ on whether real estate’s move out of the financials category to its own classification will benefit individual investors.
nyt://article/3cfed4d2-b9f7-5322-bb16-977e45977f36,https://www.nytimes.com/2016/08/31/technology/daily-report-the-tax-man-comes-for-apple-in-ireland.html,225,Technology,2016-08-30T15:48:48+0000,Business,Daily Report: The Tax Man Comes for Apple in Ireland,"Unlike their counterparts in the United States, European regulators are focusing on complaints about the technology industry."
nyt://article/203039f1-037a-56de-9b58-587bf1869aa3,https://www.nytimes.com/2016/08/31/world/europe/ukraine-roma.html,260,World,2016-08-30T14:52:48+0000,Foreign,Mob in Ukraine Drives Dozens of Roma From Their Homes,"Residents blamed them for the rape and death of a 9-year-old, but a rights group noted that the suspect who was arrested was not of that ethnic group."
nyt://article/f9fe00c7-fc4b-5a65-83a4-28cb695353c2,https://www.nytimes.com/2016/08/31/technology/tax-experts-check-out-arguments-from-apple-over-ruling.html,1225,Technology,2016-08-31T00:31:52+0000,Business,Fact-Checking Apple’s Claims on E.U. Tax Ruling,The company’s chief executive issued a defiant letter after Ireland was ordered to collect about $14.5 billion in back taxes.
nyt://article/711665ac-6134-569b-be86-b3bfdc180692,https://www.nytimes.com/2016/09/03/business/energy-environment/first-person-surfer-my-test-drive-of-artificial-waves.html,703,Business Day,2016-09-02T10:01:36+0000,Business,First-Person Surfer: My Test Drive of Artificial Waves,"Artificial wave pools eliminate surfing’s guesswork and waiting, which is their virtue — and their biggest drawback."
nyt://article/6303d705-0c23-5db7-b7ae-f742c3a0aa11,https://www.nytimes.com/2016/09/01/world/americas/trump-mexico-pena-nieto-reaction.html,1106,World,2016-08-31T16:16:00+0000,National,Mexicans Accuse President of ‘Historic Error’ in Welcoming Donald Trump,"Many Mexican citizens are angry that President Enrique Peña Nieto would meet with Mr. Trump, let alone extend him an invitation."
nyt://article/81139cf3-2979-58ac-a353-b923d24bf39b,https://www.nytimes.com/2016/08/30/world/americas/brazil-dilma-rousseff-impeachment-trial.html,539,World,2016-08-29T14:23:43+0000,Foreign,Dilma Rousseff of Brazil Says She Won’t Be Silenced in Impeachment Trial,The suspended president took the stand and fiercely argued that she was innocent of the charges of manipulating the federal budget.
nyt://article/c9d99a08-c2c0-5444-953c-b9b78b36d18a,https://www.nytimes.com/2016/08/30/business/dealbook/congresswoman-presses-regulators-on-volcker-rule-data.html,602,Business Day,2016-08-29T15:25:49+0000,Business,Congresswoman Presses Regulators on Volcker Rule Data,Representative Carolyn B. Maloney requested two years of information that could help inform the debate over the rule’s impact on the financial system.
nyt://article/c779a5a2-1b20-5740-a135-586f181c1f66,https://www.nytimes.com/2016/08/30/world/middleeast/israeli-military-investigating-soldiers-killing-of-unarmed-palestinian.html,806,World,2016-08-29T18:35:28+0000,Foreign,Israeli Military Investigating Soldier’s Killing of Unarmed Palestinian,The shooting of Iyad Hamed in the West Bank on Friday has fed a stormy debate over open-fire regulations and the use of force by Israeli troops.
nyt://article/7061b001-e936-5c16-b19a-b7bb474a5d07,https://www.nytimes.com/2016/08/31/world/middleeast/world-vision-gaza-hamas-israel.html,513,World,2016-08-30T16:46:37+0000,Foreign,"Aid Group’s Gaza Branch Manager, Accused of Diverting Funds to Hamas, Is Arraigned","Mohammad El Halabi, of World Vision’s Gaza branch, is accused by Israel of funneling $43 million to Hamas. He was arraigned at a closed hearing on Tuesday."
