_id,url,word_count,section,date,type,headline,abstract
nyt://article/0a6d1477-65fc-572e-9680-2a9c6535a05b,https://www.nytimes.com/2019/04/02/world/canada/quebec-montreal-head-scarf-religion.html,1234,World,2019-04-02T18:03:28+0000,Foreign,She Wears a Head Scarf. Is Quebec Derailing Her Career?,A proposed Quebec law to bar public sector employees in positions of authority from wearing religious symbols has set off a backlash.
nyt://article/2c1c2861-1d60-54f4-8bfc-7e56df629583,https://www.nytimes.com/2019/04/05/world/europe/france-breast-implants-banned-cancer.html,541,World,2019-04-05T16:03:42+0000,Foreign,France Is First to Ban Breast Implants Linked to Rare Cancer,"The ban covers textured breast implants, which are suspected of being linked to anaplastic large-cell lymphoma. Regulators in other countries are following suit."
nyt://article/d07d61e9-6a74-5ec6-90cd-c8b7debbf4a5,https://www.nytimes.com/2019/04/02/business/media/disney-gender-discrimination-lawsuit.html,663,Business Day,2019-04-02T22:10:44+0000,Business,A Suit Against Disney Claims Unequal Pay for Women,"The complaint, filed on behalf of two employees in the studio division, asks for back pay and for Disney to adjust salaries and benefits for female workers."
nyt://article/7057345a-98c8-5642-94ea-a235f1c6aad6,https://www.nytimes.com/2019/04/03/world/europe/theresa-may-jeremy-corbyn-brexit.html,1198,World,2019-04-03T11:35:40+0000,Foreign,Theresa May and Jeremy Corbyn Open Treacherous Brexit Negotiation,Can the two leaders overcome their antagonistic history and find a way out of the quagmire? The government said the talks got off to a constructive start. Labour was less optimistic.
nyt://article/dcadad51-6fed-5a8c-8d08-db1b07cc8f02,https://www.nytimes.com/2019/04/03/world/asia/hong-kong-extradition-law-china.html,930,World,2019-04-03T12:11:39+0000,Foreign,"Despite Fears About China, Hong Kong Pushes Ahead on Extradition Bill",Rules meant to allow the authorities to send a murder suspect to Taiwan have stirred fears that residents would be left without protection from mainland China’s legal system.
nyt://article/d1aa5a2c-0a5f-5eeb-8bde-996cabceec06,https://www.nytimes.com/2019/04/01/business/british-business-brexit.html,1380,Business Day,2019-04-01T19:41:13+0000,Business,"For Many British Businesses, Brexit Has Already Happened",No one knows how the politics of Brexit will end. But the twisting road has already cooled investment and damaged the nation’s reputation as a haven for commerce.
nyt://article/45154c8d-d7b7-5926-a410-ccc410985fb7,https://www.nytimes.com/2019/04/02/world/africa/Abdelaziz-Bouteflika-resigns.html,1190,World,2019-04-02T19:23:42+0000,Foreign,Algerian Leader Bouteflika Resigns Under Pressure From Army,"The state news agency said the ailing Abdelaziz Bouteflika, who hasn’t spoken to his countrymen in seven years, was stepping down."
nyt://article/0d1fbdad-1f52-581c-803c-c8d591eca2e6,https://www.nytimes.com/2019/04/02/world/europe/naked-police-officer-arrest-sweden.html,238,World,2019-04-02T05:56:12+0000,Foreign,Naked Police Officer Arrests Naked Fugitive (We Can Explain),An off-duty Swedish policeman was praised for keeping a cool head after recognizing the man sitting next to him in a sauna.
nyt://article/03d4ad03-887b-5cb7-b3ac-74af3e8714be,https://www.nytimes.com/2019/04/02/business/media/media-companies-take-a-big-gamble-on-apple.html,1595,Business Day,2019-04-02T20:15:13+0000,Business,Media Companies Take a Big Gamble on Apple,Executives have been burned by their previous dealings with big tech companies. But Apple’s promise of a billion devices worldwide was too good to pass up. Even for Rupert Murdoch.
nyt://article/2938a243-70ca-5d5d-8fcb-ee638d478240,https://www.nytimes.com/2019/04/02/business/airlines-cameras-privacy.html,1057,Business Day,2019-04-02T18:33:17+0000,Business,"There Are Probably Cameras on Your Flight, but Relax, They’re Not On (Yet)","Since a traveler asked Singapore Airlines if the seat back on his flight contained a camera, two U.S. senators have asked questions and expressed concern."
nyt://article/5375dd10-afd9-5459-924e-4772231013c6,https://www.nytimes.com/2019/03/31/world/middleeast/netanyahu-fake-twitter.html,1175,World,2019-04-01T02:07:23+0000,Foreign,"Twitter Network Uses Fake Accounts to Promote Netanyahu, Israel Watchdog Finds","A network of hundreds of social media accounts, many of them fake, was used to smear opponents of the Israeli prime minister, investigators found."
nyt://article/abdd56da-a5e6-5649-935a-da2ba10e435d,https://www.nytimes.com/2019/04/01/world/europe/ukraine-presidential-election-runoff.html,909,World,2019-04-01T17:39:35+0000,Foreign,"In Ukraine Presidential Runoff, It’s Comic Versus Chocolate King","An actor with no political experience easily finished first in Ukraine’s election, and will face the incumbent president in an April 21 runoff."
nyt://article/8b1a867c-51e6-590f-b29c-f5a26988ccdb,https://www.nytimes.com/2019/04/01/world/africa/algeria-bouteflika-resign.html,911,World,2019-04-01T17:40:12+0000,Foreign,"Algeria’s Ruler, Abdelaziz Bouteflika, Agrees to Resign","Mr. Bouteflika, who has ruled Algeria for 20 years, appears to have yielded to mass protests demanding he step down."
nyt://article/8c7c8d47-0f88-5d61-90c1-85b8106e24d7,https://www.nytimes.com/2019/04/02/technology/for-him-for-hers-get-roman.html,1829,Technology,2019-04-02T21:35:23+0000,Business,Drug Sites Upend Doctor-Patient Relations: ‘It’s Restaurant-Menu Medicine’,"A new wave of websites turns physicians into mere gatekeepers for popular lifestyle drugs, increasing public health risks, experts say. The sites say they ease connections with doctors."
nyt://article/8ed21a54-69df-51a4-9021-eb1aae4ab63e,https://www.nytimes.com/2019/04/02/world/americas/trump-funding-central-america.html,822,World,2019-04-02T22:20:45+0000,Foreign,Trump Wants to Cut Aid to Central America. Here Are Some of the Dozens of U.S.-Funded Programs.,"President Trump has vowed to cut aid to Guatemala, Honduras and El Salvador over migration. But the cuts could impact the very programs designed to encourage people to stay."
nyt://article/ae0aecea-2378-5c3b-8a1e-a5134094b357,https://www.nytimes.com/2019/04/03/business/media/woody-allen-amazon-lawsuit.html,550,Business Day,2019-04-04T02:29:43+0000,Business,Amazon Studios Counters Woody Allen’s Lawsuit and Defends Severing of Ties,Amazon filed a motion saying the company was “justified in terminating its relationship with Allen.”
nyt://article/44ebc55e-8fb1-57f5-8cfb-0d15318a258e,https://www.nytimes.com/2019/04/03/technology/personaltech/apple-airpods-review.html,1307,Technology,2019-04-03T09:00:10+0000,Business,"Apple AirPods Review: Perfect Earbuds, but They Don’t Last","Sleek and convenient, Apple’s wireless earbuds are an engineering marvel. One problem: They are difficult and expensive to maintain."
nyt://article/1a92ac3c-5c77-5dd8-96b5-3cfdd01a3881,https://www.nytimes.com/2019/04/03/technology/personaltech/david-sanger-national-security.html,1125,Technology,2019-04-03T12:00:08+0000,Business,From Bubble Memory to Hot Spots and a Fly Rod,"David E. Sanger, a national security correspondent, recounts his gear from the computers in use when he joined The Times in 1982 to his overloaded backpack now."
nyt://article/7a128e79-111b-56c3-b63c-7b6d0cfa74b1,https://www.nytimes.com/2019/04/03/world/europe/sinn-fein-mps-brexit.html,654,World,2019-04-03T17:13:18+0000,Foreign,"Sinn Fein Refuses to Vote in British Parliament, Even Against Brexit","The party speaks for anti-Brexit Catholics in Northern Ireland, and its seven votes could make a difference. But it refuses on principle to participate."
nyt://article/1dec2fed-c05b-5f86-86d4-c27f40c49b37,https://www.nytimes.com/2019/04/03/world/australia/social-media-law.html,978,World,2019-04-04T01:19:24+0000,Foreign,Australia Passes Law to Punish Social Media Companies for Violent Posts,"Parliament adopted a measure that would criminalize “abhorrent violent material” shared on social media platforms, threatening huge fines for tech companies and jail for their employees."
nyt://article/1da6f3f4-dc8e-567f-91bc-b2a615061df3,https://www.nytimes.com/2019/04/03/business/economy/immigration-labor-economy.html,1414,Business Day,2019-04-03T09:00:09+0000,Business,"Short of Workers, U.S. Builders and Farmers Crave More Immigrants","As a tight labor market raises costs, employers say the need for low-wage help can’t be met by the declining ranks of the native-born."
nyt://article/5abed12e-52dc-55a5-aa77-784b18d2bd5f,https://www.nytimes.com/2019/04/03/technology/amazon-facial-recognition-technology.html,740,Technology,2019-04-03T16:00:04+0000,Business,A.I. Experts Question Amazon’s Facial-Recognition Technology,"At least 25 prominent researchers are calling on the company to stop selling the technology to law enforcement agencies, citing concerns that it has built-in biases."
nyt://article/5fd3a659-13af-58db-ab83-0cf38b5723a6,https://www.nytimes.com/2019/04/03/world/asia/brunei-hotel-boycotts.html,604,World,2019-04-03T20:56:59+0000,Express,Brunei Hotel Boycott Gathers Steam as Anti-Gay Law Goes Into Effect,George Clooney and Ellen DeGeneres are among those who have called for the boycott over a new law that will punish gay people in Brunei with death by stoning.
nyt://article/11408e6c-c1f8-58f5-ac3b-e171fad7f7ca,https://www.nytimes.com/2019/04/02/world/asia/boeing-max-8-lion-air.html,1846,World,2019-04-02T09:51:41+0000,Foreign,"Between Two Boeing Crashes, Days of Silence and Mistrust","After the crash of a Lion Air 737 Max 8 jet in Indonesia, information largely went unshared as involved parties went into a defensive crouch, a Times investigation found."
