_id,url,word_count,section,date,type,headline,abstract
nyt://article/162ab41a-5016-52c2-a6c4-d36877820fbe,https://www.nytimes.com/2017/06/20/world/africa/democratic-republic-of-congo-bana-mura.html,646,World,2017-06-21T02:12:27+0000,Foreign,Congolese Militia Is Accused of Atrocities,The United Nations’ top human rights official said a militia in the Democratic Republic of Congo carried out mass killings and attacks on children and pregnant women.
nyt://article/3575024c-3290-591b-a248-ab508b0bf92a,https://www.nytimes.com/2017/06/21/world/europe/brussels-belgium-station-attack.html,906,World,2017-06-21T09:19:19+0000,Foreign,Brussels Train Station Bombing Renews Focus on Belgium as Jihadist Base,"Officials said that the episode underscored the continuing security threat in Europe, as the Islamic State is under siege in Iraq and Syria."
nyt://article/7712ed98-e884-5341-a14c-d4d20be5ba92,https://www.nytimes.com/2017/06/21/world/europe/france-francois-bayrou-macron.html,721,World,2017-06-21T11:11:44+0000,Foreign,2 Ministers Allied With Emmanuel Macron Resign in France,"The departures came amid allegations that their party had misused European Union funds, and they cast a shadow over a cabinet reshuffle."
nyt://article/a26523ab-a505-5d4c-b96d-7df242460547,https://www.nytimes.com/2017/06/19/world/asia/ship-navy-collision-uss-fitzgerald-japan.html,266,World,2017-06-19T12:36:40+0000,Foreign,Japan Says Deadly Ship Collision Happened Earlier Than Reported,"Japan’s Coast Guard is now investigating an inaccuracy in the timeline of the crash, in which seven United States sailors were killed."
nyt://article/bd83e4e3-8a40-5b0a-a92c-2b0a1254afd6,https://www.nytimes.com/2017/06/22/technology/homeland-security-artificial-intelligence-neural-network.html,810,Technology,2017-06-22T14:00:32+0000,Business,Uncle Sam Wants Your Deep Neural Networks,Homeland Security is introducing a $1.5 million contest to build artificial intelligence that can identify concealed items in body scans at airports.
nyt://article/751181a5-b07f-597b-8cad-11c1b9222ff0,https://www.nytimes.com/2017/06/28/world/australia/cardinal-george-pell-charged-with-sexual-abuse-also-uber-drivers-fight-for-worker-rights.html,1166,World,2017-06-29T01:39:25+0000,Foreign,"A Controversial Lesson on Race. Also: Cardinal George Pell Charged, and Uber Drivers Fight Back.","Conversation starters and context, drawn from the day’s news in Australia."
nyt://article/cf35e179-1795-5204-bfd5-ba2183737164,https://www.nytimes.com/2017/06/21/world/americas/mexico-pena-nieto-spying-hacking-surveillance.html,437,World,2017-06-21T18:55:55+0000,Foreign,Mexico to Investigate Spying Campaign Against Journalists and Activists,The announcement of a criminal investigation came after a Times article detailed a sweeping operation using advanced spyware to infiltrate a target’s smartphone.
nyt://article/53d2b404-a7f1-58c9-9408-76878d4c37a0,https://www.nytimes.com/2017/06/29/world/middleeast/amid-turkeys-purge-a-renewed-attack-on-kurdish-culture.html,1581,World,2017-06-29T04:01:30+0000,Foreign,"Amid Turkey’s Purge, a Renewed Attack on Kurdish Culture","The authorities have fired people from jobs promoting Kurdish culture, removed statues of Kurdish heroes, shut Kurdish media and jailed pro-Kurdish journalists."
nyt://article/20856ff3-1a70-5a0a-be45-6f9cd0cdc6f5,https://www.nytimes.com/2017/06/22/world/europe/ukraine-visa-free-travel.html,801,World,2017-06-22T13:47:33+0000,Foreign,Europe Dismantles Ukraine’s ‘Paper Curtain’,"By waiving visa requirements, European countries opened the door to 45 million potential vacationers, though few Ukrainians can afford to travel abroad."
nyt://article/df8c86f3-b619-5abf-8c90-763355b62af3,https://www.nytimes.com/2017/06/23/world/asia/otto-warmbier-north-korea.html,626,World,2017-06-23T14:34:22+0000,Foreign,North Korea Defends Otto Warmbier’s Treatment,A government spokesman said the young American who died less than a week after he was released from North Korean captivity had been well cared for.
nyt://article/e6b43df1-7785-55ed-821c-6c6ded914757,https://www.nytimes.com/2017/06/16/world/europe/helmut-kohl-german-chancellor-dead.html,3250,World,2017-06-16T16:02:37+0000,Foreign,"Helmut Kohl, Chancellor Who Reunited Germany, Dies at 87","Mr. Kohl held the post for 16 years, from 1982 to 1998, longer than any German leader since Bismarck."
nyt://article/ed1696b7-5fcf-5292-b5ca-06a24c96f109,https://www.nytimes.com/2017/03/31/business/energy-environment/indonesia-gold-mine-grasberg-freeport-mcmoran.html,1278,Business Day,2017-04-01T02:00:17+0000,Business,"Foreigners Have Long Mined Indonesia, but Now There’s an Outcry","Protesters are pressing the government to push back against Freeport-McMoRan, a U.S. mining giant, and to regain control of natural resources."
