_id,url,word_count,section,date,type,headline,abstract
nyt://article/58acd78f-ab2f-52c7-9f0a-892acece52e9,https://www.nytimes.com/1999/07/29/business/international-business-german-phone-concern-in-talks-to-buy-british-venture.html,510,Business Day,1999-07-29T05:00:00+0000,Business/Financial Desk,German Phone Concern in Talks to Buy British Venture,"Deutsche Telekom AG reportedly is in talks to buy One2One, British mobile phone company, from Cable and Wireless and MediaOne Group (M)"
nyt://article/63c1d6c2-b319-541e-9b08-e69c60022f65,https://www.nytimes.com/1999/07/28/business/company-news-sprint-to-acquire-operating-units-of-wbs-america.html,102,Business Day,1999-07-28T05:00:00+0000,Business/Financial Desk,SPRINT TO ACQUIRE OPERATING UNITS OF WBS AMERICA,Sprint Corp will acquire WBS America LLC for $108 million less assumed debt (S)
nyt://article/329b6b3a-a0ad-5432-8a85-5cf39046c612,https://www.nytimes.com/1999/08/20/business/the-media-business-executive-at-times-gets-expanded-role.html,121,Business Day,1999-08-20T05:00:00+0000,Business/Financial Desk,Executive at Times Gets Expanded Role,"Marc Z Kramer, vice president for labor relations at New York Times, receives additional responsibility for production; Kramer is assuming production duties from David A Thurm, who was recently appointed chief operating officer of Times Company Digital, Internet unit of paper's parent company (S)"
nyt://article/0a612c52-02a4-5fcb-9917-0adea1138a81,https://www.nytimes.com/1999/07/10/business/company-news-dupont-to-complete-its-divestiture-of-conoco.html,115,Business Day,1999-07-10T05:00:00+0000,Business/Financial Desk,DuPONT TO COMPLETE ITS DIVESTITURE OF CONOCO,Du Pont sets terms for splitting off its 70 percent stake in Conoco Inc (S)
nyt://article/3e897b56-ff5e-50ee-8f98-6495a510935e,https://www.nytimes.com/1999/09/05/business/investing-funds-watch-when-indexes-get-it-wrong.html,176,Business Day,1999-09-05T05:00:00+0000,Money and Business/Financial Desk,When Indexes Get It Wrong,Frank Russell Co's recent mistake in swiching five stocks to Russell 100 Value index resulted in fleeting 40 percent boost in index's technology weighting (S)
nyt://article/d005f83b-3e4e-5a21-844e-8ab69bd6c3fb,https://www.nytimes.com/1999/07/21/business/low-fat-s-lowered-expectations-procter-gamble-overestimates-america-s-olestra.html,1708,Business Day,1999-07-21T05:00:00+0000,Business/Financial Desk,Low Fat's Lowered Expectations; Procter & Gamble Overestimates America's Olestra Craving,"Sales of products using Procter & Gamble Co's fat substitute olestra are waning; Procter & Gamble chief executive Durk I Jager says olestra production last year was 30 percent to 40 percent below forecasts; plans to seek broader regulatory approval to add olestra to foods like french fries and cookies have been shelved; P&G had expected $500 million in domestic revenue and $400 million in international sales of olestra by 2000; sales may hit $1 billion target, but will probably not be liquid gold that P&G management once envisioned; graph; photo (M)"
nyt://article/82eb9b98-4e22-52ad-ab83-f9eb1c42fa74,https://www.nytimes.com/1999/09/10/business/world-business-briefing-asia-hyundai-securities-chairman.html,78,Business Day,1999-09-10T05:00:00+0000,Business/Financial Desk,HYUNDAI SECURITIES CHAIRMAN,"South Korean prosecutors arrest Lee Ik Chi, chairman of Hyundai Securities Co, on charges of manipulating stock prices of Hyundai Electronics Co (S)"
nyt://article/b3949d2f-f48f-50ba-83ad-3f348c0767a7,https://www.nytimes.com/1999/08/16/world/report-outlines-problems-with-donated-drugs-sent-overseas.html,1065,World,1999-08-16T05:00:00+0000,Foreign Desk,Report Outlines Problems With Donated Drugs Sent Overseas,"New study by Harvard School of Public Health concludes that suspicions of many public health officials, that many drugs donated to aid groups to be sent overseas do not meet local medical needs or are likely to expire before use, are well founded; found most drugs donated by two unidentified aid agencies between 1994 and 1997--for use in Armenia, Haiti, and Tanzania--were useful and helped those in need, but that significant amount of donations were not listed by recipient country or World Health Organization as high-priority items; found about 30 percent of drugs had year or less until expiration, and six percent had less than 100 days (M)"
nyt://article/d359022a-0cf6-54e3-b0a5-2667f2ccb423,https://www.nytimes.com/1999/09/13/business/technology-debate-on-internet-taxes-takes-political-turn.html,699,Business Day,1999-09-13T05:00:00+0000,Business/Financial Desk,Debate on Internet Taxes Takes Political Turn,"Congress has appointed elite group of high-technology and government leaders to draft sales tax policies for Internet; most of 19 members of panel, Advisory Commission on Electronic Commerce, agree that Internet sales should be subject to same taxes levied on sales in physical world; key question is how to devise more uniform tax rate or system that makes it easy for companies to collect taxes levied by more than 30,000 state and local jurisdictions; panel's chairman, Gov James Gilmore of Virginia, says he is not convinced Internet sales should be taxed; in addition to sales tax, group is expected to study international tax issues on Internet and taxes on Internet access; photo (M)"
nyt://article/babc74df-5b70-5d82-8a67-f196ad56baec,https://www.nytimes.com/1999/09/20/business/nickelodeon-animation-studio-to-open.html,284,Business Day,1999-09-20T05:00:00+0000,Business/Financial Desk,Nickelodeon Animation Studio to Open,"Nickelodeon, children's cable network owned by Viacom, opens major new digital animation studio at 1633 Broadway in Manhattan; Little Bill, cartoon show based on Bill Cosby's beginning-reader books, will be made at studio (S)"
