_id,url,word_count,section,date,type,headline,abstract
nyt://article/9b072e26-16d1-5789-a925-a5dc22e673c0,https://www.nytimes.com/2001/04/12/business/a-new-editor-named-at-wired-magazine.html,219,Business Day,2001-04-12T05:00:00+0000,Business/Financial Desk,A New Editor Named at Wired Magazine,"Chris Anderson, US business editor of The Economist, is named editor of Wired magazine, succeeding Katrina Heron (S)"
nyt://article/0ec1723e-24f9-5fe3-91ce-60be53d86877,https://www.nytimes.com/2001/06/17/business/l-chain-stores-friends-or-foes-835080.html,270,Business Day,2001-06-17T05:00:00+0000,Money and Business/Financial Desk,Chain Stores: Friends or Foes?,"Eric Nussbaum letter on Daniel Akst's June 3 article holds chain stores do not offer service, convenience, product knowledge, special ordering and other benefits of small neighborhood stores"
nyt://article/b8fde0e3-4561-5a89-847c-06bbcc3f46d1,https://www.nytimes.com/2001/06/14/business/media-business-advertising-study-looks-eagerly-sought-but-hard-reach-group.html,802,Business Day,2001-06-14T05:00:00+0000,Business/Financial Desk,A study looks at an eagerly sought but hard-to-reach group.,"Article on PortiCo Research study intended to give advertisers insight on how to sell to consumers 21 to 25 years old, difficult group for advertisers to reach; photo (M)"
nyt://article/b62aedaf-4836-5ab4-80a8-6bec98537582,https://www.nytimes.com/2001/05/06/world/feud-breeds-political-scandals-and-public-outrage-in-brazil.html,926,World,2001-05-06T05:00:00+0000,Foreign Desk,Feud Breeds Political Scandals and Public Outrage in Brazil,"The president of the Senate is said to have profited from a $1 billion corruption scheme. Former Senate leaders are accusing each other of  tampering with ballots. And that means trouble for President Fernando Henrique Cardoso, even though he is hardly to blame.     The scandal, involving the three main parties in his coalition, has paralyzed the Congress and enraged Brazil, a nation of 170 million.  "
nyt://article/d45b9a83-b356-522d-b564-f19dd49f9dab,https://www.nytimes.com/2001/06/13/business/technology-ibm-plans-to-expand-an-alliance-in-germany.html,656,Business Day,2001-06-13T05:00:00+0000,Business/Financial Desk,I.B.M. Plans To Expand An Alliance In Germany,"IBM and SAP, German business software giant, are planning to broaden their longstanding partnership over next three years; new links include IBM commitment to train more than 5,000 of its service employees on entire suite of SAP products that support business activities on Internet; new agreement calls for crosslicensing and software development efforts by both companies that will integate SAP more closely with Websphere, IBM's package of so-called middleware programs that help server computers play host to business applications on Internet (M)"
nyt://article/1a9743d1-db97-5749-9aaf-f5bb93de1528,https://www.nytimes.com/2001/06/28/world/french-court-approves-extradition-of-american-fugitive.html,481,World,2001-06-28T05:00:00+0000,None,French Court Approves Extradition of American Fugitive,"RENNES, France, June 28 — A French court today agreed to extradite James Charles Kopp, an American anti-abortion activist accused in the sniper killing of an upstate New York doctor."
nyt://article/c07b774a-2a7f-51c7-a92e-2dc2ef0e7d01,https://www.nytimes.com/2001/06/11/business/the-media-business-advertising-addenda-accounts-747602.html,28,Business Day,2001-06-11T05:00:00+0000,Business/Financial Desk,Accounts,Advertising account changes noted (S)
nyt://article/a68c58f9-a1ee-5962-a058-71ddfcc60d61,https://www.nytimes.com/2001/06/11/business/computer-virus-scouts-for-child-pornography.html,503,Business Day,2001-06-11T05:00:00+0000,Business/Financial Desk,Computer Virus Scouts for Child Pornography,"New rogue computer program, possibly intended to perform public service, searches target's computer for what it suspects may be child pornography and reports names of files to police, raising thorny legal and privacy issues; police apparently have not yet acted on such results; virus reportedly has not yet been distributed widely and poses low risk of damaging computers; worm virus arrives as e-mail attachment; experts say virus's search software is apt to falsely identify files as containing child pornography (M)"
nyt://article/539f5c6b-61bd-5223-9d7b-4eb283654727,https://www.nytimes.com/2001/05/21/world/a-family-and-its-5yearold-a-symbol-of-mideast-violence.html,1019,World,2001-05-21T05:00:00+0000,None,A Family and Its 5-Year-Old a Symbol of Mideast Violence,"TEL AVIV, May 21 -- Today, intensive care doctors removed 5-year-old Sasha Sorokin's breathing tube, three days after the suicide bomb attack that killed his father and seriously wounded his mother. He cried hoarsely, slept on and off and whimpered in Russian to his 20-year-old uncle, German Moravchik, who sat bleary-eyed by his side."
nyt://article/4107c8d3-ed8d-5358-bac3-7d3324e6c274,https://www.nytimes.com/2001/04/20/world/defensive-drug-industry-fueling-clash-over-patents.html,1317,World,2001-04-20T05:00:00+0000,Foreign Desk,Defensive Drug Industry: Fueling Clash Over Patents,"The big pharmaceutical companies march to the beat of a steady chant -- that patent protection for drugs is essential for innovation. At the urging of the drug companies, the United States government has pressed many nations to honor patents on medications.     But now, it seems, the industry may have overplayed its hand. Drug patents are under attack, blamed for high AIDS drug prices that deny life-saving therapy to millions of people in developing countries. And some analysts say the industry itself fueled the backlash by staunchly defending its intellectual property in the face of a pandemic that could claim more lives than the Black Death of the Middle Ages.   "
nyt://article/1ea26d73-3530-55d3-b624-0877cb48a952,https://www.nytimes.com/2001/06/17/business/vicarious-investing-funds-that-focus-on-truly-liquid-assets.html,1010,Business Day,2001-06-17T05:00:00+0000,Money and Business/Financial Desk,Funds That Focus On Truly Liquid Assets,vicarious investing: funds tha
