_id,url,word_count,section,date,type,headline,abstract
nyt://article/aa3e2e4f-7e5b-59b2-a011-a928d6d34e21,https://www.nytimes.com/2019/07/23/world/europe/luna-15-soviet-moon.html,270,World,2019-07-23T08:30:00+0000,Foreign,"1969: Soviet Spacecraft Reaches Moon, but Crash Landing Is Suspected",The uncrewed Luna 15 was launched three days before Apollo 11. But an abrupt end to its work raised suspicions it had crashed.
nyt://article/9569722c-3dad-52a2-86bd-fa0ee3e03d84,https://www.nytimes.com/2019/07/20/world/europe/uk-prime-minister-vote.html,1270,World,2019-07-20T08:22:43+0000,Foreign,U.K. Voters’ Frustration High as 99% Are Sidelined in Prime Minister Election,"With less than 1 percent of registered voters making a consequential decision at a critical time, many are questioning the foundations of their democracy."
nyt://article/8b650619-4c3a-50d8-b3af-0a42e2a65fa7,https://www.nytimes.com/2019/07/12/world/europe/conservative-leadership-race.html,1371,World,2019-07-12T15:35:03+0000,Foreign,Nothing ‘Magic’ About the Flawed Contest to Become U.K. Prime Minister,"In 1963, a cabal of Conservative insiders called the “magic circle” chose the party’s — and therefore the country’s — leader. Is the current system any better?"
nyt://article/295a8a7b-bb7e-536e-8aae-8540712ddeaa,https://www.nytimes.com/2019/07/05/world/africa/sudan-power-sharing-deal.html,1292,World,2019-07-06T01:07:14+0000,Foreign,"In Sudan, a Power-Sharing Deal Propelled by a Secret Meeting and Public Rage","Just a month ago, Sudan’s protest movement appeared crippled. What led the military to suddenly agree to share power? Back-room negotiations, raw street power and a diplomatic shift by Saudi Arabia."
nyt://article/c26b5cd5-edc7-5809-a38a-9c354d822f28,https://www.nytimes.com/2019/07/09/world/middleeast/us-missiles-libya-france.html,1049,World,2019-07-09T17:21:10+0000,Washington,U.S. Missiles Found in Libyan Rebel Camp Were First Sold to France,The discovery of the Javelin missiles confirmed longstanding fears that foreign sponsorship on all sides of Libya’s conflict is amplifying the fighting.
nyt://article/0fdcb939-69f2-54bc-9ace-5f931706c475,https://www.nytimes.com/2019/07/22/technology/open-ai-microsoft.html,1227,Technology,2019-07-22T13:00:07+0000,Business,"With $1 Billion From Microsoft, an A.I. Lab Wants to Mimic the Brain","OpenAI, now managed by start-up guru Sam Altman, wants to create a machine that can do anything the human brain can do. Skeptics wonder if it is possible."
nyt://article/908263d5-ae73-5b90-9e2b-a9cdc0dab2dd,https://www.nytimes.com/2019/07/22/world/europe/britain-liberal-democrats-jo-swinson.html,771,World,2019-07-22T21:01:37+0000,Foreign,"Britain’s New Liberal Democrats Leader, Jo Swinson, Could Be a Kingmaker",The 39-year-old Scottish lawmaker took over leadership of the adamantly anti-Brexit party that could play an influential role if an early election is held.
nyt://article/0941e5eb-6b25-548a-bb31-e658129912d6,https://www.nytimes.com/2019/07/25/world/europe/france-greens-social-policy.html,1177,World,2019-07-25T09:00:11+0000,Foreign,A French Town’s Green Policies Aim to Win Over the Working Class,"In a crumbling industrial area, a mayor turned his town into a vibrant laboratory of pragmatic green policies. After his election to the European Parliament, can they be expanded?"
nyt://article/3a81cf47-5e9f-532d-b5c8-6cc6af884c70,https://www.nytimes.com/2019/07/25/world/europe/boris-johnson-uk-cabinet.html,1218,World,2019-07-25T11:58:01+0000,Foreign,Brexit Clashes Begin as U.K.’s Boris Johnson Pushes a Hard Line,The new prime minister fueled speculation that he was ready to go to a general election if he was blocked by lawmakers from leaving the European Union without a deal.
nyt://article/37a60437-2493-5972-b541-fbdc2d48274e,https://www.nytimes.com/2019/07/25/world/asia/north-korea-ballistic-missile.html,1106,World,2019-07-25T16:20:53+0000,Foreign,"North Korea Tested New Ballistic Missile, South Says, Flouting U.N. Ban","The two projectiles North Korea launched off its east coast on Thursday were a new type of ballistic missile, South Korea says."
