_id,url,word_count,section,date,type,headline,abstract
nyt://article/cdcf7ff8-d773-5bdc-83ad-291bfc26ef3d,https://www.nytimes.com/2018/01/02/world/europe/uk-fire-monkeys.html,355,World,2018-01-02T18:35:31+0000,Foreign,Fire Kills 13 Monkeys at U.K. Safari Park,Recent weeks have brought bad news for zoos in London and Berlin and a safari park in England.
nyt://article/e53ef7d5-4c4a-5017-b18d-437e5bf298e4,https://www.nytimes.com/2018/01/09/world/africa/south-africa-train-crash.html,622,World,2018-01-09T10:47:37+0000,Foreign,South Africa Train Crash Injures Hundreds Outside Johannesburg,"At least 226 people were hurt after a train smashed into another at a station, the second serious rail accident in a week in the country."
nyt://article/367ec39b-05c5-5be3-94f4-8f5996977717,https://www.nytimes.com/2018/01/06/world/americas/paraguay-guarani-language.html,1330,World,2018-01-06T10:00:43+0000,Foreign,"Newfound Pride in Guaraní, a Language Long Disdained in Paraguay","While the indigenous language is widely spoken across the country, its use is much more common in the streets than the halls of power. Now, officials are pushing to end its second-class status."
nyt://article/6358cd8b-4b64-5795-9b1a-7f8307e4ffc7,https://www.nytimes.com/2018/01/09/world/africa/tunisia-protests.html,1098,World,2018-01-09T21:20:10+0000,Foreign,‘You Can’t Survive Anymore’: Tunisia Protests Rising Prices and Taxes,"Economic anxieties have roiled the country, the only nation to emerge from the Arab Spring uprisings with the semblance of a stable democracy."
nyt://article/10366b64-ce10-5fa7-9066-e18ce5c522a0,https://www.nytimes.com/2018/01/11/world/europe/rome-tree-reborn.html,392,World,2018-01-11T21:26:18+0000,Foreign,Rome’s Famous Christmas Tree to Be Reborn as a Baby Nursing Station,"The tree, known as Spelacchio, or mangy, was dismantled Thursday, but the much-maligned spruce will live on, in the hearts of Romans, and in a book."
nyt://article/7dc30b0a-7937-5edf-9872-085969a81e9c,https://www.nytimes.com/2018/01/10/world/europe/belgium-sudan-theo-francken.html,1021,World,2018-01-10T23:49:51+0000,Foreign,Belgium in Uproar Over Torture of Sudanese It Deported,Reports that migrants were tortured upon their return to Sudan are provoking calls for the migration minister to resign.
nyt://article/49474330-f23a-58c8-8eb8-b621e4e2b009,https://www.nytimes.com/2018/01/10/world/europe/human-rights-arrest-chechnya.html,461,World,2018-01-10T22:10:51+0000,Foreign,"Arrest in Chechnya Reflects Effort to Drive Out Dissidents, Activists Say","Oyub Titiev, who has run a human rights group since the unsolved murder of a member of the group, is the latest in a series of government critics to face drug charges."
nyt://article/2b59ce2b-8ea3-5201-b577-daf7377a6628,https://www.nytimes.com/2018/01/17/world/middleeast/tillerson-troops-syria-islamic-state.html,907,World,2018-01-17T21:02:43+0000,Washington,Tillerson Says U.S. Troops to Stay in Syria Beyond Battle With ISIS,"In a speech, the secretary of state said American forces must stay engaged to prevent the extremists’ return and continue pressuring President Bashar al-Assad."
nyt://article/499475d6-33b1-50ac-b51b-eb694874d6d3,https://www.nytimes.com/2018/01/03/world/middleeast/what-is-unrwa-and-what-would-it-mean-if-trump-cuts-its-funding.html,692,World,2018-01-03T20:51:50+0000,Foreign,What Is Unrwa and What Would It Mean if Trump Cuts Its Funding?,"In two tweets sent Tuesday, President Trump vowed to halt funding to millions of Palestinians. Much of that aid flows through the United Nations Relief Works Agency for Palestinian Refugees, or Unrwa."
nyt://article/ebd7a3aa-1231-5875-b467-f2bbc4b82590,https://www.nytimes.com/2018/01/15/world/europe/denmark-child-pornography-video.html,878,World,2018-01-15T21:31:49+0000,Foreign,"1,000 Danes Accused of Child Pornography for Sharing Video of Teens","The video, spread through Facebook Messenger, was legal to make, but illegal to distribute. Many of those charged are teenagers themselves."
