,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
USA,-7.449,2.041,-2.524,13.593,24.183,6.256,10.233,4.663,4.053,4.304,2.915,0.454,9.426,10.005,13.353,9.007,9.376,14.409,11.849,12.874,12.961,-3.361,3.659,5.814,11.44,7.032,6.236,2.062,-3.363,-15.305,15.442,6.143,2.625,1.762,5.562,5.676,1.456,4.776,5.002,1.862
CHINA,,,,,,,,,,,,,,,,,,,12.647,13.854,28.611,15.505,21.362,33.183,20.253,12.862,17.005,12.85,5.152,2.986,23.377,11.734,5.793,9.702,3.704,-0.72,5.832,7.671,7.561,-2.5
INDIA,14.044,9.546,7.737,3.657,-0.797,10.574,4.242,-1.243,11.281,1.575,6.848,-20.848,31.952,1.009,29.837,14.162,11.217,13.024,0.296,6.739,-2.196,1.528,9.916,10.953,28.658,13.655,6.211,25.413,17.305,1.433,10.022,16.974,2.117,-3.171,6.693,-0.802,1.49,11.505,4.033,4.1
JAPAN,-16.65,2.056,-0.209,-2.029,11.725,1.697,5.721,7.705,18.796,9.016,5.282,2.303,16.747,2.85,12.961,14.18,12.587,0.932,-7.551,5.547,14.334,1.39,0.058,7.102,8.138,7.977,6.059,1.457,1.453,-17.017,13.452,7.237,4.781,3.348,6.544,0.751,-1.62,3.379,3.295,-0.848
UK,-5.344,-3.945,5.454,8.813,11.235,3.132,7.426,7.762,13.336,8.175,0.103,-5.254,6.593,3.792,4.425,6.177,9.47,7.057,7.882,5.696,10.488,5.384,5.276,2.117,6.681,7.756,11.292,-3.935,-1.879,-9.156,11.334,1.426,2.544,3.044,3.575,4.404,3.81,4.406,-0.551,-0.319
SWITZERLAND,8.905,7.726,1.103,0.755,6.29,6.054,13.751,-3.114,5.929,8.954,6.932,-3.922,-0.865,-3.519,4.093,6.835,3.738,12.815,3.45,1.992,6.34,0.996,-2.221,1.862,2.12,10.896,3.531,6.183,5.817,-6.195,8.41,9.493,-5.484,16.485,-11.917,2.766,5.777,-1.703,1.251,2.135
CANADA,-4.286,2.531,-17.676,11.722,20.725,9.25,6.857,5.204,13.365,4.719,0.476,2.25,6.187,8.68,10.691,7.141,5.354,16.676,6.239,8.602,8.843,-5.231,1.638,3.367,8.557,7.578,5.424,5.503,0.283,-14.337,14.005,5.905,3.357,2.413,2.558,0.304,-0.354,4.643,3.371,1.045
AUSTRALIA,6.011,9.88,4.947,-12.212,22.765,5.805,-2.008,1.316,30.8,20.739,-4.75,-1.351,8.389,5.693,15.423,9.844,7.744,12.742,8.194,10.348,8.854,-4.622,14.113,12.014,14.35,9.989,9.423,11.702,10.274,-9.624,15.434,10.482,5.487,-3.382,0.051,3.069,0.25,7.708,3.758,-1.06
BRAZIL,-6.56,-13.624,-10.002,-20.025,1.255,-3.558,36.714,-6.269,-10.925,14.932,8.155,9.505,-2.209,29.571,29.07,38.812,6.08,17.927,2.136,-14.78,12.867,3.013,-11.846,-3.883,17.745,5.307,15.927,21.804,17.28,-17.072,36.775,9.073,-2.249,8.522,-2.416,-15.206,-11.201,5.974,12.816,1.348
