,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
USA,-0.257,2.538,-1.802,4.584,7.237,4.169,3.463,3.46,4.177,3.673,1.886,-0.108,3.522,2.753,4.029,2.684,3.772,4.447,4.481,4.753,4.127,0.999,1.742,2.861,3.799,3.513,2.855,1.876,-0.137,-2.537,2.564,1.551,2.249,1.842,2.526,2.908,1.638,2.37,2.927,2.35
CHINA,7.91,5.1,9,10.8,15.2,13.501,8.9,11.7,11.2,4.2,3.888,9.3,14.2,13.9,13,10.919,9.9,9.2,7.8,7.7,8.523,8.355,9.147,10.018,10.152,11.365,12.721,14.253,9.65,9.401,10.563,9.5,7.9,7.8,7.3,6.9,6.734,6.757,6.567,6.139
INDIA,5.281,6.006,3.476,7.289,3.821,5.254,4.777,3.965,9.628,5.947,5.534,1.057,5.482,4.75,6.659,7.575,7.55,4.05,6.184,8.463,3.975,4.944,3.907,7.944,7.849,9.285,9.264,9.801,3.891,8.48,10.26,6.638,5.456,6.386,7.41,7.996,8.17,7.168,6.811,6.124
JAPAN,3.181,4.209,3.312,3.523,4.502,5.233,3.327,4.731,6.785,4.858,4.893,3.417,0.848,-0.518,0.993,2.742,3.1,1.076,-1.128,-0.252,2.78,0.406,0.118,1.528,2.205,1.663,1.42,1.654,-1.094,-5.416,4.192,-0.115,1.495,2,0.375,1.223,0.609,1.936,0.814,0.891
UK,-2.028,-0.771,2.01,4.222,2.276,4.196,3.141,5.301,5.758,2.569,0.739,-1.088,0.371,2.526,3.895,2.455,2.535,4.293,3.341,3.214,3.453,2.841,2.5,3.339,2.348,3.149,2.548,2.546,-0.346,-4.247,1.711,1.645,1.447,2.046,2.948,2.349,1.789,1.823,1.398,1.235
SWITZERLAND,5.11,1.602,-1.302,0.603,3.099,3.65,1.858,1.582,3.311,4.392,3.566,-0.816,-0.168,-0.124,1.324,0.534,0.534,2.327,2.931,1.653,4.074,1.286,0.183,0.076,2.621,3.161,4.077,4.107,2.11,-2.228,2.873,1.835,1.006,1.879,2.484,1.264,1.714,1.864,2.756,0.761
CANADA,2.163,3.503,-3.188,2.601,5.909,4.738,2.144,4.072,4.41,2.317,0.164,-2.086,0.901,2.661,4.495,2.692,1.619,4.28,3.898,5.161,5.179,1.789,3.017,1.801,3.087,3.203,2.635,2.073,1.008,-2.928,3.089,3.147,1.762,2.33,2.868,0.69,1.107,2.979,1.879,1.545
AUSTRALIA,2.894,4.127,0.063,-0.474,6.346,5.456,2.448,4.893,4.253,4.626,1.502,-1.009,2.565,3.902,4.892,2.843,4.159,4.558,4.723,4.446,3.038,2.601,4.177,2.671,4.28,2.878,2.819,4.368,2.675,1.884,2.386,2.765,3.875,2.138,2.643,2.461,2.788,2.423,2.74,1.713
BRAZIL,9.19,-4.4,0.596,-3.4,5.307,7.901,7.544,3.601,0.264,3.2,-4.168,1.031,-0.555,4.91,5.839,4.232,0.182,3.399,0.345,0.468,4.384,1.382,3.053,1.139,5.757,3.192,3.955,6.064,5.095,-0.119,7.545,3.986,1.928,3.007,0.506,-3.551,-3.313,1.056,1.114,0.875
