,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
USA,23.31,24.277,22.071,22.253,25.096,24.188,23.741,23.62,22.828,22.514,21.529,20.111,20.078,20.394,21.279,21.273,21.702,22.41,22.958,23.42,23.675,22.177,21.708,21.742,22.659,23.381,23.539,22.592,21.119,17.805,18.743,19.104,20.021,20.414,20.806,21.093,20.379,20.623,20.969,21.103
CHINA,35.476,33.544,32.428,32.381,34.852,39.536,38.209,37.78,39.527,37.511,34.38,35.674,39.634,43.963,40.793,39.556,38.219,36.197,35.557,34.865,34.328,36.296,36.903,40.369,42.657,40.982,40.606,41.239,43.21,46.335,47.881,48.006,47.18,47.251,46.775,44.748,44.142,44.643,44.848,43.432
INDIA,19.169,18.943,19.081,18.232,19.126,20.602,20.08,21.871,22.842,23.71,26.032,21.8,23.038,22.189,24.729,25.274,23.683,25.572,24.206,26.634,24.263,24.244,24.75,26.831,32.818,34.65,35.659,38.114,34.305,36.48,36.502,39.59,38.348,34.024,34.268,32.117,30.212,30.941,31.308,31.27
JAPAN,33.912,32.762,31.552,30.15,29.959,29.921,29.868,30.921,32.981,33.751,34.471,34.168,32.511,30.744,29.545,29.883,30.865,29.951,28.515,27.119,27.307,26.56,24.656,24.397,24.349,24.749,24.749,24.483,24.548,21.324,21.298,22.103,22.654,23.191,23.916,24.023,23.407,23.904,24.425,24.592
UK,19.03,17.734,18.243,19.054,20.009,20.066,19.943,21.363,23.595,24.709,23.198,20.356,19.219,18.753,18.792,18.643,18.851,17.994,18.656,18.112,18.627,18.146,17.954,17.557,17.296,17.423,17.743,18.372,17.18,14.49,15.795,15.694,15.872,16.244,17.259,17.221,17.263,17.218,17.191,16.423
SWITZERLAND,32.129,29.36,29.062,29.459,26.869,27.628,29.742,29.322,30.338,31.087,32.662,29.532,26.571,25.494,26.224,25.989,25.536,24.209,25.153,24.683,24.785,24.727,23.34,23.126,21.537,24.027,25.071,24.299,25.301,26.275,23.852,26.693,24.312,22.503,23.188,23.061,23.045,23.516,22.638,23.259
CANADA,22.388,25.296,19.924,20.222,20.961,21.534,21.681,22.178,23.506,23.61,21.305,19.342,18.378,18.475,19.516,19.381,18.928,21.218,21.045,20.684,20.615,19.671,19.739,20.467,21.383,22.632,23.596,23.908,24.072,21.959,23.482,24.151,24.868,24.908,24.869,23.848,22.879,23.546,23.034,22.58
AUSTRALIA,27.188,28.949,26.549,23.103,26.782,27.292,25.601,26.441,28.888,30.215,26.452,22.801,22.758,23.958,25.929,25.255,24.84,24.796,26.348,26.344,25.019,23.551,25.293,26.826,27.313,27.92,27.168,28.268,28.358,26.988,26.373,26.876,28.472,27.121,26.436,25.894,24.661,24.195,24.154,22.51
BRAZIL,21.434,21.213,19.394,15.357,14.483,17.616,17.547,20.499,20.907,22.756,18.542,20.017,19.162,21.105,22.722,19.094,17.255,17.791,18.205,17.438,19.002,18.933,17.58,16.829,17.928,17.199,17.824,19.791,21.658,18.773,21.855,21.894,21.503,21.775,20.569,17.449,14.967,15.005,15.405,15.727
