,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
USA,13.5492,10.33471,6.131427,3.212435,4.300536,3.545644,1.898048,3.664563,4.077741,4.827003,5.397956,4.234964,3.02882,2.951657,2.607442,2.80542,2.931204,2.33769,1.552279,2.188027,3.376857,2.826171,1.586032,2.270095,2.677237,3.392747,3.225944,2.852673,3.8391,-0.3555463,1.640043,3.156842,2.069337,1.464833,1.622223,0.1186271,1.261583,2.13011,2.442583,1.81221
CHINA,2.5,2.5,2,2,2.7,9.3,6.5,7.3,18.8,18,3.1,3.4,6.4,14.7,24.1,17.1,8.3,2.8,-0.8,-1.4,0.4,0.7,-0.8,1.2,3.9,1.8,1.5,4.8,5.9,-0.7,3.3,5.4,2.6,2.6,2,1.4,2,1.6,2.1,2.9
INDIA,11.34606,13.11255,7.89075,11.86807,8.318914,5.556426,8.729712,8.801135,9.383466,7.074283,8.971233,13.87025,11.78782,6.32689,10.24793,10.22489,8.977149,7.164254,13.23084,4.669821,4.009434,3.779289,4.29716,3.805866,3.767238,4.246353,5.796516,6.372881,8.349267,10.88235,11.98939,8.858361,9.312446,10.90764,6.353195,5.872427,4.941027,2.490887,4.8607,7.659695
JAPAN,7.778582,4.912163,2.741041,1.89972,2.261614,2.032277,0.5955868,0.1261768,0.6785576,2.27229,3.078516,3.251438,1.760283,1.243046,0.6954581,-0.1278991,0.1366004,1.747805,0.6619742,-0.3412969,-0.6765787,-0.7400555,-0.923494,-0.2565418,-0.008573388,-0.2829461,0.2493551,0.06003945,1.380079,-1.352837,-0.7199794,-0.2676336,-0.05193906,0.3464403,2.761954,0.7895179,-0.1166667,0.4672118,0.9799037,0.4769737
UK,17.96593,11.87662,8.59887,4.609302,4.960712,6.071394,3.427615,4.148918,4.2094,5.7,8,7.5,4.6,2.6,2.2,2.7,2.9,2.2,1.8,1.7,1.2,1.6,1.5,1.4,1.4,2.1,2.5,2.4,3.5,2,2.5,3.8,2.6,2.3,1.5,0.4,1,2.6,2.3,1.7
SWITZERLAND,4.022499,6.49031,5.655101,2.949831,2.931436,3.43539,0.7503089,1.440328,1.872459,3.155289,5.403954,5.859586,4.037009,3.292629,0.8521415,1.7998,0.811658,0.5202146,0.01794886,0.8064469,1.558518,0.9890171,0.6427084,0.6382989,0.8028826,1.171951,1.059525,0.7323366,2.426048,-0.4804679,0.6882334,0.2313366,-0.6925458,-0.2173085,-0.01322916,-1.143901,-0.4346076,0.533796,0.9363133,0.362916
CANADA,10.12922,12.47161,10.76897,5.863588,4.304778,3.962031,4.194786,4.356109,4.028234,4.983622,4.780477,5.625864,1.490133,1.865079,0.1655629,2.14876,1.570531,1.621216,0.9959425,1.734843,2.71944,2.52512,2.258394,2.758563,1.857259,2.213552,2.002025,2.138384,2.370271,0.2994668,1.776872,2.912135,1.515678,0.9382919,1.906636,1.125241,1.42876,1.596884,2.268226,1.949269
AUSTRALIA,10.13584,9.487666,11.35182,10.03891,3.960396,6.734694,9.05035,8.533022,7.21594,7.533903,7.333022,3.176675,1.012231,1.753653,1.969635,4.627767,2.615385,0.2248875,0.8601346,1.483129,4.457435,4.407135,2.981575,2.732596,2.343255,2.691832,3.555288,2.327611,4.350298,1.771117,2.91834,3.30385,1.76278,2.449889,2.487923,1.508367,1.276991,1.948647,1.911401,1.610768
BRAZIL,90.227,101.7251,100.5434,135.0277,192.1217,225.9897,147.1428,228.3362,629.1145,1430.724,2947.733,432.7866,951.962,1927.381,2075.888,66.00703,15.75767,6.926713,3.195076,4.858448,7.044141,6.840359,8.450165,14.71492,6.597185,6.869537,4.183568,3.641273,5.678594,4.888035,5.038727,6.63645,5.403499,6.204311,6.32904,9.029901,8.739143,3.446373,3.66485,3.732976
