,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
USA,12.292,-0.655,-8.479,-3.274,7.107,3.512,5.354,12.237,17.785,11.423,8.567,6.717,7.524,3.251,9.571,11.65,8.887,14.485,2.176,4.177,9.927,-6.331,-3.335,2.937,8.762,7.652,9.915,6.961,5.824,-11.857,14.99,7.054,3.842,3.183,4.634,-0.35,0.553,3.884,4.257,0.875
CHINA,,,,,,,,,,,,,,,,,,,21.748,4.453,27.3,11.114,25.096,33.193,24.981,24.822,25.983,19.733,9.386,-10.801,29.045,11.164,6.79,9.583,4.259,-2.347,1.733,8.976,3.644,2.3
INDIA,1.423,8.282,13.485,6.664,4.708,-0.759,2.916,6.051,5.808,12.144,4.331,2.668,14.722,11.25,12.563,13.133,6.359,11.495,3.889,4.87,16.038,2.28,17.205,12.382,15.147,11.52,10.262,17.872,1.632,-0.424,25.048,12.323,1.093,7.574,5.031,-6.669,7.906,5.271,5.094,4
JAPAN,8.834,11.865,-1.529,5.162,15.911,5.167,-2.54,0.075,4.599,4.852,5.021,2.07,12.744,-2.306,1.568,3.311,2.983,11.655,-2.051,3.393,13.223,-8.05,8.023,9.209,14.231,7.861,10.753,8.765,1.565,-25.536,28.32,-0.141,0.28,-0.802,6.221,2.941,1.713,6.83,3.395,-1.649
UK,0.927,-0.958,2.658,2.172,8.055,5.503,4.359,5.909,2.11,5.871,6.289,1.075,2.465,3.794,9.927,9.855,7.643,12.441,0.859,2.396,9.749,1.303,0.819,-0.84,1.641,7.053,13.113,-8.535,0.403,-10.373,10.656,6.212,-0.728,-0.846,2.554,6.666,-1.293,6.674,-0.104,0.683
SWITZERLAND,6.969,17.366,-3.532,-5.378,19.487,7.801,3.021,-5.046,10.977,6.313,4.467,-3.099,4.317,-2.451,2.737,5.618,2.679,16.531,0.883,1.486,10.981,1.583,-0.896,0.287,10.186,5.389,7.082,10.596,5.289,-12.265,17.536,7.809,-0.92,18.917,-9.417,2.507,5.832,-0.448,3.33,2.682
CANADA,0.599,1.625,-0.548,6.352,20.228,4.271,3.965,3.383,9.226,0.504,4.918,1.735,7.711,11.169,12.96,9.136,5.233,8.892,8.741,11.61,9.124,-3.426,0.66,-1.815,5.257,2.124,0.8,1.44,-5.275,-14.897,8.455,4.985,2.566,2.586,6.239,3.411,0.628,0.684,3.227,2.84
AUSTRALIA,16.399,2.533,2.816,8.826,1.653,14.528,6.532,11.568,3.9,3.659,7.093,15.134,5.572,6.318,7.693,3.552,11.372,14.226,-0.661,4.522,9.833,3.589,0.745,-1.52,4.031,3.053,2.024,1.871,3.792,3.461,7.594,0.544,6.959,6.28,6.978,5.653,7.093,1.993,4.458,2.382
BRAZIL,25.699,21.267,-7.894,18.832,18.851,2.227,-18.773,19.35,17.13,0.154,-7.689,3.459,14.251,12.525,7.67,10.425,2.712,9.919,3.773,8.301,10.908,9.087,8.658,15.605,18.962,9.379,3.566,5.502,-2.27,-10.581,8.749,3.012,-0.253,2.993,-2.053,8.135,3.439,13.5,8.539,0.151
