_id,url,word_count,section,date,type,headline,abstract
nyt://article/ee426e6e-0908-5422-97c9-252d796195d5,https://www.nytimes.com/2017/01/01/business/best-time-to-retune-career.html,1243,Business Day,2017-01-01T17:00:15+0000,Business,The Best Time to Retune Your Career? It’s Probably Right Now,"Thinking about asking for a raise, or changing jobs, or just want to be more happy at work? Here's advice on how to get started. "
nyt://article/d9af003a-b6cb-502d-a771-30fc59b89807,https://www.nytimes.com/2017/01/06/business/tien-tzuo-of-zuora-dont-expect-me-to-manage-you.html,987,Business Day,2017-01-06T12:00:04+0000,SundayBusiness,Tien Tzuo of Zuora: ‘Don’t Expect Me to Manage You’,The C.E.O. of a software company doesn’t give performance reviews and thinks most issues are best resolved in groups.
nyt://article/ed07c9c3-adbf-5fb9-b10f-a9fb19440597,https://www.nytimes.com/2017/01/06/jobs/the-cosmetics-creator-blending-art-and-commerce.html,393,Job Market,2017-01-06T19:56:24+0000,SundayBusiness,The Cosmetics Creator: Blending Art and Commerce,Charlotte Tilbury created her company after working with the makeup artist Mary Greenwell and developing products for Armani and Alexander McQueen.
nyt://article/f7b862ae-7ced-5944-bb94-d69bd798bf1c,https://www.nytimes.com/2017/01/03/world/asia/myanmar-video-police-brutality.html,1003,World,2017-01-03T06:54:23+0000,Foreign,Myanmar Holds Officers After Video Purports to Show Police Beating Rohingya,"The recording, which appears to depict unarmed members of the Rohingya minority being beaten in Rakhine State, adds to pressure on the government."
nyt://article/9ae2ca45-4a6b-5fca-81b6-f93472aa7077,https://www.nytimes.com/2017/01/04/world/europe/istanbul-attack-nightclub.html,1316,World,2017-01-04T08:45:42+0000,Foreign,"In Turkey, U.S. Hand Is Seen in Nearly Every Crisis","Like the failed coup in July and the assassination of Russia’s ambassador in December, the New Year’s Day nightclub massacre is suspected of being a C.I.A. plot."
nyt://article/6fc73e94-1e02-5c78-b577-1bcf9ce3f151,https://www.nytimes.com/2017/01/04/world/asia/philippines-jailbreak-mindanao.html,365,World,2017-01-04T07:56:00+0000,Foreign,"Philippines Jailbreak Frees More Than 150 Inmates, Prompting Manhunt","The overnight raid on a Mindanao jail killed a guard, and five escapees later died in a shootout. A bystander was also killed by mistake, the police said."
nyt://article/1b3a221b-720a-5f70-9353-bf8f4c87f055,https://www.nytimes.com/2017/01/22/business/media/sean-spicer-donald-trump-alternative-facts.html,1057,Business Day,2017-01-22T23:43:44+0000,Business,"News Media, Target of Trump’s Declaration of War, Expresses Alarm","Journalists were in a state of shock a day after Sean Spicer, the press secretary, employed a combative tone and false statements in his first appearance on the White House podium."
nyt://article/41454570-3efd-5949-b130-52a0bad6362d,https://www.nytimes.com/2017/01/24/business/the-super-bowl-returns-to-a-transformed-houston.html,1181,Business Day,2017-01-24T15:21:34+0000,Business,The Super Bowl Returns to a Transformed Houston,"The city, which was hit hard by slumping oil prices, has overhauled its night life, infrastructure and parks in hopes of becoming a world-class destination."
nyt://article/a6b4c55b-4d4d-5fca-82ca-6215a1d51591,https://www.nytimes.com/2017/01/23/business/economy/trump-business-leaders-meetings-ceos.html,1373,Business Day,2017-01-24T02:10:17+0000,Business,"Call to Create Jobs, or Else, Tests Trump’s Sway","President Trump told corporate leaders that they could face tariffs if they don’t bring back manufacturing jobs, but he is fighting against larger market forces."
nyt://article/0210bcd7-5e9e-51d8-946f-9e81d8db7b29,https://www.nytimes.com/2017/01/20/business/media/nigel-farage-fox-news.html,168,Business Day,2017-01-21T02:21:13+0000,National,"Fox News Hires Nigel Farage, a Trump Ally Who Backed ‘Brexit’","Mr. Farage, the right-wing British politician, will have an unlikely American megaphone when he joins the network as a paid on-air contributor."
