_id,url,word_count,section,date,type,headline,abstract
nyt://article/a9eab697-67ed-5356-842a-406b3465f4a7,https://www.nytimes.com/2001/08/13/business/pc-makers-and-microsoft-squabble-over-desktop-icons.html,1474,Business Day,2001-08-13T05:00:00+0000,Business/Financial Desk,PC Makers And Microsoft Squabble Over Desktop Icons,"Personal computer makers are unhappy with conditions set by Microsoft Corp for placement of software and services of rival software companies on desktops screen of new Microsoft Windows XP operating system; conditions, which require three Microsoft icons on desktop for each non-Microsoft icon, limit PC makers' ability to sell valuable icon space to other software companies; similarly, Microsoft's abrupt announcement in July that it will not ship Windows XP with software necessary to run programs written in Java means that PC makers must quickly decide whether to install Java software themselves or drop it even though many consumers find it useful (M)"
nyt://article/70ed104b-4f6e-5db9-9d09-2ce421a477f9,https://www.nytimes.com/2001/07/26/business/siemens-posting-3rd-quarter-loss-fires-a-unit-chief.html,677,Business Day,2001-07-26T05:00:00+0000,Business/Financial Desk,"Siemens, Posting 3rd-Quarter Loss, Fires a Unit Chief","Siemens posts worse-than-expected loss of $428 million in its third quarter; traditional operations posted solid gains, but mobile phone and phone networks units lost combined 1.1 billion euros, or about $964.6 million, in quarter; Roland Koch will step down as head of networks unit and be succeeded by Thomas Ganswindt; photo (M)"
nyt://article/fb6417be-3b21-5a31-a763-ac9416827b9a,https://www.nytimes.com/2001/08/29/business/former-workers-at-lucent-see-nest-eggs-vanish-too.html,1935,Business Day,2001-08-29T05:00:00+0000,Business/Financial Desk,"Former Workers at Lucent See Nest Eggs Vanish, Too","Longtime employees of Lucent Technologies and onetime parent AT&T have not only lost jobs to layoffs but have also seen savings stashed in company stock largely evaporate with 90 percent plunge in stock price since end of 1999; Stephen J Gilligan, 48, and others explain particular pain of being hurt by 'family' company they believed was rock solid; photos; workers who took advantage of employee stock purchase plan and also invested in Lucent through 401(k) programs lost in both portions of their retirement savings; company has also trimmed its traditional retirement plan (M)"
nyt://article/ff8509b2-df12-5839-a00f-2225dbb9e568,https://www.nytimes.com/2001/09/06/technology/basics-how-to-move-the-home-page-to-a-new-home.html,1147,Technology,2001-09-06T05:00:00+0000,Circuits,How to Move The Home Page To a New Home,Advice on how to move Internet home page to new Internet service provider; drawing (M)
nyt://article/a8d0c812-9761-5ba1-836d-c55650284be9,https://www.nytimes.com/2001/08/04/world/wahid-still-angry-returns-to-indonesia-from-us-medical-visit.html,533,World,2001-08-04T05:00:00+0000,Foreign Desk,"Wahid, Still Angry, Returns to Indonesia From U.S. Medical Visit","Former Pres Abdurrahman Wahid of Indonesia returns home after medical checkup in United States, still angry over his ouster and promising to set up clearinghouse for complaints about government; his successor, Megawati Sukarnoputri, has been paralyzed by infighting over her first presidential duty, selecting cabinet; although Wahid has been removed, his cabinet members remain in place while Megawati struggles to balance demands of her supporters; she has asked departing ministers not to make policy while they remain in place, but some have ignored her request (M)"
nyt://article/6c924a1f-fa5e-501f-b4bd-7b5a7ee0230f,https://www.nytimes.com/2001/08/16/business/earnings-rise-75-at-federated-stores-aided-by-a-catalog.html,272,Business Day,2001-08-16T05:00:00+0000,Business/Financial Desk,"Earnings Rise 75% At Federated Stores, Aided by a Catalog","Federated Department Stores Inc says fiscal second-quarter earnings rose 75 percent, to $110 million; sales fell 8.2 percent, to $3.73 million (S)"
nyt://article/1637cc2a-1de9-5b10-a76f-7d2ecfb92625,https://www.nytimes.com/2001/09/25/business/technology-briefing-hardware-sun-to-show-new-computer.html,115,Business Day,2001-09-25T05:00:00+0000,Business/Financial Desk,Technology Briefing | Hardware: Sun To Show New Computer,"Sun Microsystems Inc plans to show off its most powerful computer, Starcat, which it hopes will safeguard its position at high end of server-system market; computer harnesses 106 of Suns UltraSparc III computer chips, each running at 900 megahertz (S)"
nyt://article/b47adee0-ed6d-5b20-bb2a-c7588a4a98e5,https://www.nytimes.com/2001/09/13/business/after-the-attacks-the-records-corporate-paper-trails-lie-buried-in-soot.html,1107,Business Day,2001-09-13T05:00:00+0000,Business/Financial Desk,Corporate Paper Trails Lie Buried in Soot,"Businesses have to address loss of records from World Trade Center; while many financial firms have automatic backups of their records, law firms are expecially dependent on hard copies of documents that might be used in litigation or as legally binding originals; federal regulators are also concerned about status of files and other documents in their offices at Center; Securities and Exchange Commission and Federal Employment Opportunity Commission had regional offices in 7 World Trade Center, which is one of buildings that collapsed after attack; New York State Department of Taxation and Finance had 222 employees in Center, of which 40 are unaccounted for (M)"
nyt://article/fcc3edc5-e6fd-5988-8e81-68131876c0dd,https://www.nytimes.com/2001/09/19/international/pakistans-leader-tries-to-assure-country.html,2137,World,2001-09-19T05:00:00+0000,International,Pakistan's Leader Tries to Assure Country,Pakistan's military ruler took to nationwide television to defend his decision to cooperate with the United States in its search for Osama bin Laden.
nyt://article/b149467a-0519-5cae-b95d-8531fc8abd9b,https://www.nytimes.com/2001/08/08/world/world-briefing-asia-kashmir-militants-blamed-for-killings-of-9.html,65,World,2001-08-08T05:00:00+0000,Foreign Desk,World Briefing | Asia: Kashmir: Militants Blamed For Killings Of 9,Nine people are killed and 30 wounded when gunmen open fire at railway station in Jammu; police blame militants opposed to India's rule over state of Jammu and Kashmir (S)
